Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-16T12:26:44.817Z","Included","auto","No","23911","0","189171","2225","215307","0.09"
"2025-09-16T12:25:02.120Z","Included","auto","No","10312","0","54870","1434","66616","0.04"
"2025-09-16T12:08:27.946Z","Included","auto","No","9375","0","2220892","3171","2233438","0.59"
"2025-09-16T12:06:28.771Z","Included","auto","No","54610","0","638165","1622","694397","0.24"
"2025-09-16T12:04:30.669Z","Included","auto","No","5094","0","736931","2566","744591","0.21"
"2025-09-16T12:02:57.229Z","Included","auto","No","6376","0","529163","1758","537297","0.15"
"2025-09-16T12:00:57.266Z","Included","auto","No","15876","0","371014","1069","387959","0.12"
"2025-09-16T11:58:34.163Z","Included","auto","No","33702","0","471136","3849","508687","0.18"
"2025-09-16T11:55:22.541Z","Included","auto","No","15429","0","94129","877","110435","0.05"
"2025-09-16T11:47:42.915Z","Included","auto","No","2159","0","401378","738","404275","0.11"
"2025-09-16T11:45:03.902Z","Included","auto","No","16239","0","853141","3810","873190","0.26"
"2025-09-16T11:42:01.494Z","Included","auto","No","32990","0","951864","3560","988414","0.30"
"2025-09-16T11:31:57.037Z","Included","auto","No","21370","0","176357","5195","202922","0.10"
"2025-09-16T11:27:56.160Z","Included","auto","No","6130","0","173863","3524","183517","0.07"
"2025-09-16T11:24:05.508Z","Included","auto","No","17943","0","103730","3040","124713","0.07"
"2025-09-16T11:19:19.859Z","Included","auto","No","17443","0","77043","2764","97250","0.06"
"2025-09-16T11:14:45.606Z","Included","auto","No","20183","0","213491","3753","237427","0.10"
"2025-09-16T11:10:32.185Z","Included","auto","No","4151","0","536419","1482","542052","0.15"
"2025-09-16T11:06:58.963Z","Included","auto","No","40598","0","406099","2205","448902","0.17"
"2025-09-16T11:06:23.180Z","Included","auto","No","1076","0","84630","607","86313","0.03"
"2025-09-16T11:06:07.797Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-09-16T11:04:12.683Z","Included","auto","No","3201","0","199479","1553","204233","0.06"
"2025-09-16T11:01:11.784Z","Included","auto","No","31397","0","609366","2834","643597","0.21"
"2025-09-16T10:07:23.443Z","Included","auto","No","19650","0","119830","4307","143787","0.08"
"2025-09-16T09:54:29.946Z","Included","auto","No","7528","0","478172","3776","489476","0.15"
"2025-09-16T09:50:07.996Z","Included","auto","No","34229","0","557501","8621","600351","0.23"
"2025-09-16T09:45:23.839Z","Included","auto","No","14353","0","318395","2828","335576","0.11"
"2025-09-16T09:38:38.435Z","Included","auto","No","19260","0","177630","6021","202911","0.10"
"2025-09-16T09:28:46.307Z","Included","auto","No","32969","0","462595","16006","511570","0.25"
"2025-09-16T09:23:01.871Z","Included","auto","No","34293","0","483761","4921","522975","0.19"
"2025-09-16T09:00:27.621Z","Included","auto","No","53643","0","863878","5650","923171","0.32"
"2025-09-16T07:23:22.181Z","Included","auto","No","42694","0","632024","9802","684520","0.27"
"2025-09-16T07:12:24.160Z","Included","auto","No","21496","0","298186","3395","323077","0.12"
"2025-09-16T07:09:47.193Z","Included","auto","No","10665","0","85659","2084","98408","0.05"
"2025-09-16T06:10:31.558Z","Included","auto","No","0","1351","0","17","1368","0.002"
"2025-09-16T06:00:09.677Z","Included","auto","No","0","1578","0","19","1597","0.002"
